session_id,"question_key","answer_value",answer_order
1395984,"currentSavings","2",25
1395984,"location","b380daa278888a81d3a803e941b93dd4",22
1395985,"currentSavings","0",23
1395985,"location","dc36ed50d5e2b6d6d434f9db4050dc47",20
1395986,"currentSavings","0",23
1395986,"location","769315063304083a2049bd02b23440ca",20
1395987,"currentSavings","3",25
1395987,"location","d518003065a2f39de618ab0e3dec9471",22
1395988,"currentSavings","5",23
1395988,"location","9b76c6903b4e77729a0d0a78375e3de8",20
1395989,"currentSavings","0",21
1395989,"location","a19ea3b91b7aaba4c91c5d4586c8d0e8",18
1395990,"currentSavings","3",23
1395990,"location","4de0f7afe055d6f133caf43a4dafec40",20
1395991,"currentSavings","4",23
1395991,"location","94eec984eaa329b8d2c98d137a7bf432",20
1395992,"currentSavings","4",24
1395992,"location","99fb2c00a7924d2152227c0d60112947",21
1395993,"currentSavings","2",22
1395993,"location","ca0717b92b56a46cfe6d90cd8fd48d5c",19
1395994,"currentSavings","4",23
1395994,"location","e5b9f5bf64efb0aac1c0530df7b26150",20
1395995,"currentSavings","3",23
1395995,"location","2dc3f07e184f0f5c1cdcf6b618487fb9",20
1395996,"currentSavings","3",27
1395996,"location","c63ae1de85814ddb3cece1f18e6c7351",24
1395997,"currentSavings","2",24
1395997,"location","d5e9df2856562cedb1c8b1b9f0343a47",21
1395998,"currentSavings","3",25
1395998,"location","26219dd4dc185bfaecc7c9df3f088cf9",22
1395999,"currentSavings","4",26
1395999,"location","613bd65badc0577455f3d20d2de4fe56",23
1396000,"currentSavings","2",23
1396000,"location","06829d625cc05b1654af8bcd004469aa",20
1396001,"currentSavings","1",23
1396001,"location","cbb66d97b2fdb6ecee992eaa98ed9acf",20
1396002,"currentSavings","3",24
1396002,"location","76d0baca6075c45cd8a3a55fa6a23c05",21
1396003,"currentSavings","3",24
1396003,"location","0955b0c52f0e159e465b110315bd3aa4",21
1396004,"currentSavings","3",24
1396004,"location","97aff1c953610ba14e7396f3ad467ce0",21
1396005,"currentSavings","2",24
1396005,"location","a8da3378b39d078f77361620c9481ffb",21
1396006,"currentSavings","3",23
1396006,"location","ce81ab2b1540a178131f61b6200d8aa2",20
1396007,"currentSavings","0",24
1396007,"location","a38ed22e6819d56ec7d09640097f1d7a",21
1396008,"currentSavings","0",25
1396008,"location","4cb18a910e5392025176102bf06438a6",22
1396009,"currentSavings","3",23
1396009,"location","25d9e7c1134b5a3744cd1dea4072d6a2",20
1396010,"currentSavings","0",24
1396010,"location","d0ed65f85b2dc982fc3c3f3560bd4fcd",21
1396011,"currentSavings","4",24
1396011,"location","4746b4b7328cbaf440e47ca82741efa6",21
1396012,"currentSavings","3",25
1396012,"location","c386cba5332d11385672ee52d036e8c1",22
1396013,"currentSavings","3",23
1396013,"location","a725b066f8763c5ed5ab64db61fe9bc3",20
1396014,"currentSavings","0",25
1396014,"location","d7a2d2d3ff62e2bd0dabaa9be1603e18",22
1396015,"currentSavings","0",25
1396015,"location","2b5102c218cb2e3df76c2a0d94244c73",22
1396016,"currentSavings","0",25
1396016,"location","78bbb28f2ca60a5b9e82650b8b297cd4",22
1396017,"currentSavings","3",24
1396017,"location","e4931f86142f45a9ade8298833c0945a",21
1396018,"currentSavings","3",23
1396018,"location","c93a74fe6e7149a5cb5600b60266fc2d",20
1396019,"currentSavings","0",24
1396019,"location","71289f361df2d092ca1b768e85a33325",21
1396020,"currentSavings","2",25
1396020,"location","f72a5ab7c0c772a4ed63c40329a3bfcf",22
1396021,"currentSavings","1",24
1396021,"location","4afb2a9d181545a320cd70054847b224",21
1396022,"currentSavings","0",23
1396022,"location","958b85a5b906cfc1cf826d779e694239",20
1396023,"currentSavings","1",24
1396023,"location","83ac958ce3c9798d09d96e94002c42e8",21
1396024,"currentSavings","0",23
1396024,"location","20d1b1738e2f75c4629e32f1011ab25d",20
1396025,"currentSavings","2",23
